signal_date,strategy_id,stock_id,name,entry_close,entry_open,t5_date,t5_close,t5_ret,t10_date,t10_close,t10_ret,t20_date,t20_close,t20_ret,hit_target,hit_stop,status
2026-08-12,,2330,台積電,2415.0,2440.0,2026-08-20,2375.0,-2.66,2026-08-27,2410.0,-1.23,,0.0,0.0,0,0,追蹤中
2026-08-12,default,2330,台積電,2415.0,2440.0,2026-08-20,2375.0,-2.66,2026-08-27,2410.0,-1.23,,0.0,0.0,0,0,追蹤中
2026-08-13,,2330,台積電,2435.0,2435.0,2026-08-21,2410.0,-1.03,2026-08-28,2420.0,-0.62,,0.0,0.0,0,0,追蹤中
2026-08-13,default,2330,台積電,2435.0,2435.0,2026-08-21,2410.0,-1.03,2026-08-28,2420.0,-0.62,,0.0,0.0,0,0,追蹤中
2026-08-17,,2330,台積電,2400.0,2415.0,2026-08-25,2400.0,-0.62,2026-09-01,2440.0,1.04,,0.0,0.0,0,0,追蹤中
2026-08-17,default,2330,台積電,2400.0,2415.0,2026-08-25,2400.0,-0.62,2026-09-01,2440.0,1.04,,0.0,0.0,0,0,追蹤中
2026-08-25,,2330,台積電,2400.0,2375.0,2026-09-02,2385.0,0.42,2026-09-09,2465.0,3.79,,0.0,0.0,0,0,追蹤中
2026-08-25,default,2330,台積電,2400.0,2375.0,2026-09-02,2385.0,0.42,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-08-26,,2330,台積電,2415.0,2430.0,2026-09-03,2390.0,-1.65,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-08-26,default,2330,台積電,2415.0,2430.0,2026-09-03,2390.0,-1.65,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-08-27,,2330,台積電,2410.0,2440.0,2026-09-04,2410.0,-1.23,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-08-27,default,2330,台積電,2410.0,2440.0,2026-09-04,2410.0,-1.23,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-08-28,,2330,台積電,2410.0,2395.0,2026-09-07,2460.0,2.71,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-08-28,default,2330,台積電,2410.0,2395.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-08-31,,2330,台積電,2405.0,2395.0,2026-09-08,2470.0,3.13,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-08-31,default,2330,台積電,2405.0,2395.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-01,,2330,台積電,2440.0,2415.0,2026-09-09,2465.0,2.07,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-01,default,2330,台積電,2440.0,2415.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-02,,2330,台積電,2440.0,2385.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-02,default,2330,台積電,2440.0,2385.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-04,chan_longterm,2330,台積電,2410.0,2435.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-04,chan_shortterm,2317,鴻海,256.0,258.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-04,default,2330,台積電,2410.0,2435.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-07,chan_longterm,2330,台積電,2460.0,2465.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-07,chan_shortterm,2317,鴻海,256.0,256.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-07,chan_shortterm,2330,台積電,2460.0,2465.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-07,default,2330,台積電,2460.0,2465.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-08,chan_longterm,2330,台積電,2460.0,2480.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-08,chan_shortterm,2317,鴻海,256.0,250.5,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-08,chan_shortterm,2330,台積電,2460.0,2480.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-08,default,2330,台積電,2460.0,2480.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-09,chan_longterm,2330,台積電,2465.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-09,chan_shortterm,2330,台積電,2465.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
2026-09-09,default,2330,台積電,2465.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0,0,追蹤中
